Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.815457;280432;189230;144317;68916;0.583587;90626;
.perlbench-50B.champsimtrace.xz;0.87947;27304;14416;17338;16773;0.105345;18207;
.bzip2-7B.champsimtrace.xz;1.24354;2389611;263;1222347;40639;0.973489;351633;
.bzip2-38B.champsimtrace.xz;1.07471;2385984;94;1240253;41302;0.974439;417601;
.bzip2-226B.champsimtrace.xz;1.03112;3386903;137;1848699;58563;0.973967;459618;
.bzip2-277B.champsimtrace.xz;1.19724;1466831;9;930901;44011;0.962175;276868;
.gcc-16B.champsimtrace.xz;1.17065;9905814;11104;9905993;31222;0.99824;7869630;
.gcc-17B.champsimtrace.xz;0.474151;3240498;1492;2659637;579785;0.813439;1026758;
.gcc-48B.champsimtrace.xz;1.32464;1754282;2;49623;47602;0.232189;59990;
.bwaves-1963B.champsimtrace.xz;0.706972;4034381;0;3672767;3670255;0.0206715;3746873;
