Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Total write LLC;
.perlbench-41B.champsimtrace.xz;0.815191;280432;189230;144319;69369;0.573984;88410;
.perlbench-50B.champsimtrace.xz;0.879438;27304;14416;17338;16773;0.0957464;18008;
.bzip2-7B.champsimtrace.xz;1.24283;2389612;263;1222347;39992;0.973231;312098;
.bzip2-38B.champsimtrace.xz;1.07435;2385958;94;1240253;41347;0.973639;370348;
.bzip2-226B.champsimtrace.xz;1.0313;3386907;137;1848702;58083;0.97359;408863;
.bzip2-277B.champsimtrace.xz;1.19786;1466832;9;930871;42545;0.962494;246252;
.gcc-16B.champsimtrace.xz;1.1698;9905814;11104;9905993;31217;0.998138;6890321;
.gcc-17B.champsimtrace.xz;0.474329;3240497;1492;2659646;578710;0.810373;970746;
.gcc-48B.champsimtrace.xz;1.32435;1754282;2;49623;47603;0.212757;58462;
.bwaves-1963B.champsimtrace.xz;0.706146;4034390;0;3672894;3670240;0.0182166;3737411;
